Style	Prompt
Cyberpunk	Closeup portrait of {name} as a cyberpunk, dark and gritty, highly detailed, retro-futuristic style, neon lighting, cyberpunk city in the background, art by wlop, greg rutkowski, and charlie bowater, 8 k resolution, ultra-realistic, octane render, unreal engine.
Viking	Closeup portrait painting of {name} as a buff chiseled viking, ultra realistic, concept art, intricate details, powerful and fierce, highly detailed, photorealistic, octane render, 8 k, unreal engine. Art by artgerm and greg rutkowski and charlie bowater and magali villeneuve and alphonse mucha, golden hour, fur-lined cape and helmet.
Pixar Character	{name} as a character from Pixar, au naturel, PS2, PS1, hyper detailed, digital art, trending in ArtStation, cinematic lighting, studio quality, smooth render, Unreal Engine 5 rendered, octane rendered, art style by Klimt and Nixeu and Ian Sprigger and Wlop and Krenz Cushart.
Gladiator	Portrait painting of {name} as a gladiator, ultra realistic, concept art, intricate details, powerful and fierce, highly detailed, photorealistic, octane render, 8 k, unreal engine. Art by artgerm and greg rutkowski and charlie bowater and magali villeneuve and alphonse mucha, golden hour.
Cyborg	Closeup portrait of {name} as a cyborg, mechanical parts, ultra realistic, concept art, intricate details, eerie, highly detailed, photorealistic, 8k, unreal engine. Art by artgerm and greg rutkowski and charlie bowater and magali villeneuve and alphonse mucha, golden hour, cyberpunk, robotic, steampunk, neon colors, metallic textures.
Glowave	Glowwave portrait of {name} as a curly orange-haired mad scientist man from Borderlands 3, au naturel, hyper detailed, digital art, trending in ArtStation, cinematic lighting, studio quality, smooth render, Unreal Engine 5 rendered, octane rendered, art style by Pixar, Dreamworks, Warner Bros, Disney, Riot Games, and Overwatch.
Propaganda Poster	Closeup portrait of {name} propaganda poster, futuristic, highly detailed, ultra realistic, concept art, intricate textures, interstellar background, art by Alphonse Mucha, Ryan Kittleson, Greg Rutkowski, Leesha Hannigan, Stephan Martiniere, Stanley Artgerm Lau.
Astronaut	Closeup portrait of {name} as an astronaut, futuristic, highly detailed, ultra realistic, concept art, intricate textures, interstellar background, space travel, art by Alphonse Mucha, Ryan Kittleson, Greg Rutkowski, Leesha Hannigan, Stephan Martiniere, Stanley Artgerm Lau.
Zombie	Closeup portrait of {name} as a zombie, decaying skin and clothing, dark and eerie, highly detailed, photorealistic, 8k, ultra realistic, horror style, art by Greg Rutkowski, Charlie Bowater, and Magali Villeneuve.
Monster	Closeup portrait of {name} as a monster with fangs, dark and eerie, highly detailed, photorealistic, 8k, ultra realistic, horror style, art by Greg Rutkowski, Charlie Bowater, and Magali Villeneuve.
Samurai	Closeup portrait of {name} as a samurai warrior, war-torn landscape in the background, wearing a black and red armor, ready to fight, detailed textures, concept art, noir art, art by Hinata Matsumura, Alphonse Mucha, Mike Mignola, Kazu Kibuishi, and Rev. Matsuoka, digital painting, ultra-realistic.
Fine Art Photo	A portrait of {name} as a handsome man, fine-art photography, soft portrait shot 8k, mid-length, ultra-realistic UHD faces, Unsplash, Kodak Ultra Max 800, 35mm, intricate, casual pose, centered symmetrical composition, stunning photos, masterpiece, grainy, centered composition.
Digital Water God	A portrait of {name} as a handsome fashion elegant god of water, tropical sea background, character design, in the style of Artgerm, and Wlop, Chanel jewelry, cinematic lighting, hyperdetailed, 8k realistic, symmetrical, global illumination, radiant light, love and mercy, Frostbite 3 Engine, CryEngine, DOF, trending on ArtStation.
Floral Portrait	Closeup portrait of {name} surrounded by vibrant and lush flowers, intricate floral patterns in the background, soft and pastel color palette, inspired by the works of Alphonse Mucha and Art Nouveau, rendered in Octane Render, ultra-realistic details, 8K resolution.
Geometric Harmony	Abstract closeup of {name} with intersecting geometric shapes, clean lines and symmetry, vibrant color scheme, inspired by geometric art movements, such as Cubism and Bauhaus, created with digital tools like Illustrator or Procreate, rendered in Unreal Engine, ultra-realistic details, 8K resolution.
Steampunk Explorer	Closeup portrait of {name} as a steampunk explorer, rugged and adventurous, intricate steampunk accessories, detailed goggles, leather and metal textures, dynamic pose, created in a steampunk style reminiscent of Greg Rutkowski and Charlie Bowater, 8K resolution, Unreal Engine rendering.
Galactic Warrior	Intense closeup portrait of {name} as a galactic warrior, futuristic armor, glowing energy weapons, cosmic backdrop, highly detailed concept art, powerful and heroic pose, photorealistic rendering, inspired by the works of Magali Villeneuve and Alphonse Mucha, rendered in Octane Render, 8K resolution.
Anime Protagonist	Vibrant closeup of {name} as an anime protagonist, expressive eyes, dynamic hairstyle, iconic outfit, intense and determined expression, detailed background inspired by popular anime series, drawn in the style of artists like Wlop and Krenz Cushart, cinematic lighting, PS2 quality, trending on ArtStation.
Dystopian Survivor	Gritty closeup portrait of {name} as a dystopian survivor, worn and weathered appearance, cybernetic enhancements, desolate urban environment in the background, dark and moody atmosphere, inspired by the cyberpunk genre, created with a mix of influences from Wlop and Greg Rutkowski, rendered in Unreal Engine.
Fantasy Sorcerer	Enchanting closeup of {name} as a fantasy sorcerer, magical aura, elaborate robes and accessories, mystical background with floating runes, intricate details, realistic fantasy art style influenced by artists like Artgerm and Magali Villeneuve, ultra-realistic rendering in Octane Render, 8K resolution.
Sci-Fi Cyborg	Futuristic closeup of {name} as a sci-fi cyborg, sleek metallic enhancements, neon lights, high-tech background, dynamic pose, influenced by cyberpunk aesthetics and the works of artists like Charlie Bowater and Wlop, rendered in Unreal Engine, ultra-realistic details, 8K resolution.
Mythical Creature	Closeup portrait of {name} transformed into a mythical creature, ethereal and otherworldly appearance, intricate details, magical atmosphere, influenced by fantasy art styles of Greg Rutkowski and Magali Villeneuve, rendered in Octane Render, 8K resolution, with a touch of golden hour lighting.
Retro Gamer	Closeup of {name} in a retro gamer style, pixelated appearance, classic gaming elements, vibrant colors, nostalgic background inspired by classic video game aesthetics, drawn in a pixel art style with influences from artists like Krenz Cushart and Wlop, trending on ArtStation, rendered in Unreal Engine.
Samurai Warrior	Majestic closeup of {name} as a samurai warrior, traditional armor, katana in hand, stoic expression, detailed background with cherry blossoms and Japanese elements, drawn in the style of artists like Artgerm and Krenz Cushart, cinematic lighting, 8K resolution, rendered in Octane Render.
Space Explorer	Closeup portrait of {name} as a space explorer, futuristic space suit, cosmic backdrop, detailed helmet, floating in zero gravity, influenced by sci-fi aesthetics and the works of artists like Charlie Bowater and Magali Villeneuve, rendered in Unreal Engine, ultra-realistic details, 8K resolution.
Cyberpunk Detective	Intense closeup of {name} as a cyberpunk detective, noir-inspired atmosphere, trench coat and cybernetic enhancements, gritty urban background, cinematic lighting, highly detailed, influenced by cyberpunk art styles of Wlop and Greg Rutkowski, rendered in Octane Render, 8K resolution.
Wild West Outlaw	Closeup portrait of {name} as a wild west outlaw, rugged appearance, cowboy hat and duster coat, dramatic lighting with a sunset backdrop, detailed revolver, drawn in a cinematic style inspired by classic western films, artists like Charlie Bowater and Greg Rutkowski, rendered in Unreal Engine, 8K resolution.
Futuristic Fashion	High-fashion closeup of {name} in futuristic attire, avant-garde styling, bold and unique accessories, vibrant colors, sleek and modern background, inspired by fashion-forward art styles of artists like Artgerm and Krenz Cushart, rendered in Octane Render, 8K resolution.
Time Traveler	Closeup portrait of {name} as a time traveler, eclectic mix of historical and futuristic elements, time portal in the background, detailed costume, influenced by the works of Magali Villeneuve and Alphonse Mucha, rendered in Unreal Engine, ultra-realistic details, 8K resolution.
Underwater Explorer	Underwater closeup of {name} as an underwater explorer, futuristic diving suit, surrounded by marine life, bioluminescent lights, detailed underwater environment, influenced by sci-fi and fantasy elements, artists like Wlop and Charlie Bowater, rendered in Octane Render, 8K resolution.
Magical Alchemist	Mystical closeup of {name} as a magical alchemist, surrounded by potions and magical symbols, ethereal glow, detailed fantasy background, influenced by fantasy art styles of Greg Rutkowski and Magali Villeneuve, rendered in Unreal Engine, ultra-realistic details, 8K resolution.
Cyberpunk Rebel	Rebel closeup of {name} in a cyberpunk rebellion, urban graffiti backdrop, cybernetic enhancements, defiant expression, inspired by the rebellious spirit of cyberpunk genres, artists like Charlie Bowater and Wlop, rendered in Octane Render, ultra-realistic details, 8K resolution.
Galactic Explorer	Closeup portrait of {name} as a galactic explorer, futuristic space suit, cosmic backdrop with distant galaxies, dynamic pose, influenced by sci-fi aesthetics and the works of artists like Artgerm and Krenz Cushart, rendered in Unreal Engine, ultra-realistic details, 8K resolution.
Mythological God	Divine closeup of {name} transformed into a mythological god, majestic appearance, surrounded by heavenly elements, ethereal glow, detailed background influenced by classical art, artists like Magali Villeneuve and Alphonse Mucha, rendered in Octane Render, ultra-realistic details, 8K resolution.
Pirate Captain	Swashbuckling closeup of {name} as a pirate captain, pirate attire, detailed accessories, dramatic lighting with a stormy sea backdrop, inspired by classic pirate aesthetics, artists like Greg Rutkowski and Charlie Bowater, rendered in Unreal Engine, ultra-realistic details, 8K resolution.
Cyberpunk Hacker	Closeup of {name} as a cyberpunk hacker, neon-lit hacking environment, augmented reality interface, futuristic accessories, influenced by the hacking subculture, artists like Wlop and Krenz Cushart, rendered in Octane Render, ultra-realistic details, 8K resolution.
Magical Enchantress	Closeup of {name} as a magical enchantress, surrounded by enchanted flora, mystical glow, detailed fantasy background with floating elements, influenced by fantasy art styles of artists like Artgerm and Magali Villeneuve, rendered in Unreal Engine, ultra-realistic details, 8K resolution.
Samurai Ronin	Intense closeup of {name} as a samurai ronin, weathered armor, dual-wielding katanas, stoic expression, detailed background with falling cherry blossoms, drawn in the style of artists like Charlie Bowater and Krenz Cushart, cinematic lighting, 8K resolution, rendered in Octane Render.
Space Pirate	Closeup portrait of {name} as a space pirate, futuristic pirate attire, cosmic backdrop with asteroid fields, dynamic pose, inspired by a blend of sci-fi and pirate aesthetics, artists like Greg Rutkowski and Magali Villeneuve, rendered in Unreal Engine, ultra-realistic details, 8K resolution.
Art Nouveau Muse	Closeup of {name} as an Art Nouveau muse, adorned with intricate floral patterns, soft and elegant appearance, detailed background inspired by Art Nouveau art movement, artists like Alphonse Mucha, rendered in Octane Render, ultra-realistic details, 8K resolution.
Mad Scientist	Quirky closeup of {name} as a mad scientist, surrounded by eccentric inventions, disheveled appearance, chaotic laboratory backdrop, influenced by sci-fi and steampunk elements, artists like Wlop and Charlie Bowater, rendered in Unreal Engine, ultra-realistic details, 8K resolution.
Cyberpunk Mercenary	Mercenary closeup of {name} in a cyberpunk dystopia, futuristic combat gear, battle scars, gritty urban backdrop, influenced by cyberpunk aesthetics, artists like Krenz Cushart and Magali Villeneuve, rendered in Octane Render, ultra-realistic details, 8K resolution.
Celestial Being	Closeup of {name} as a celestial being, surrounded by cosmic elements, ethereal glow, detailed fantasy background with floating stars, influenced by fantasy art styles of artists like Artgerm and Krenz Cushart, rendered in Unreal Engine, ultra-realistic details, 8K resolution.
Cyberpunk Street Racer	Closeup of {name} as a cyberpunk street racer, futuristic racing attire, dynamic pose with a futuristic bike, neon-lit urban environment, influenced by cyberpunk aesthetics and street racing culture, artists like Greg Rutkowski and Charlie Bowater, rendered in Octane Render, ultra-realistic details, 8K resolution.
Ancient Warrior	Closeup portrait of {name} as an ancient warrior, detailed armor from a historical period, fierce expression, dramatic lighting with a battlefield backdrop, influenced by classical art, artists like Magali Villeneuve and Alphonse Mucha, rendered in Unreal Engine, ultra-realistic details, 8K resolution.
Cyberpunk Fashionista	Fashionista closeup of {name} in cyberpunk-inspired haute couture, avant-garde styling, futuristic accessories, vibrant colors, influenced by cyberpunk aesthetics and high fashion, artists like Artgerm and Krenz Cushart, rendered in Octane Render, ultra-realistic details, 8K resolution.
Fantasy Bard	Closeup of {name} as a fantasy bard, adorned with musical instruments and magical elements, detailed fantasy background with ethereal glow, influenced by fantasy art styles of artists like Wlop and Charlie Bowater, rendered in Unreal Engine, ultra-realistic details, 8K resolution.
Cyberpunk Infiltrator	Closeup of {name} as a cyberpunk infiltrator, futuristic stealth attire, augmented reality interface, dynamic pose in a high-tech environment, influenced by cyberpunk aesthetics, artists like Greg Rutkowski and Magali Villeneuve, rendered in Octane Render, ultra-realistic details, 8K resolution.
Futuristic DJ	Closeup portrait of {name} as a futuristic DJ, cyberpunk-inspired DJ attire, vibrant neon lights, futuristic turntables, dynamic pose in a high-tech nightclub environment, influenced by cyberpunk aesthetics and electronic music culture, artists like Artgerm and Krenz Cushart, rendered in Unreal Engine, ultra-realistic details, 8K resolution.
Space Valkyrie	Closeup of {name} as a space valkyrie, futuristic armor with cosmic elements, ethereal glow, dynamic pose, detailed cosmic background, influenced by sci-fi and fantasy elements, artists like Charlie Bowater and Wlop, rendered in Octane Render, ultra-realistic details, 8K resolution.
